try,block_size,grid_size,iterations,concentration,setuptime,runtime,teardowntime
0,32,8000,500,1.000000,0.361719,0.228082,0.054915
1,32,8000,500,1.000000,0.376630,0.232453,0.056291
2,32,8000,500,1.000000,0.374304,0.229060,0.053200
0,4,8000,1000,1.000000,0.376725,0.221158,0.054125
1,4,8000,1000,1.000000,0.336669,0.181090,0.030043
2,4,8000,1000,1.000000,0.336669,0.180691,0.030469
0,8,8000,1000,1.000000,0.334281,0.180655,0.030006
1,8,8000,1000,1.000000,0.341116,0.181473,0.031150
2,8,8000,1000,1.000000,0.336264,0.180086,0.042690
0,16,8000,1000,1.000000,0.335146,0.181876,0.031094
1,16,8000,1000,1.000000,0.334068,0.186368,0.032929
2,16,8000,1000,1.000000,0.341832,0.180857,0.030537
0,32,8000,1000,1.000000,0.330668,0.183275,0.030250
1,32,8000,1000,1.000000,0.332031,0.180668,0.030718
2,32,8000,1000,1.000000,0.333420,0.178145,0.030624
0,4,8000,1500,1.000000,0.332645,0.184167,0.030330
1,4,8000,1500,1.000000,0.336576,0.179267,0.030871
2,4,8000,1500,1.000000,0.335557,0.182394,0.030375
0,8,8000,1500,1.000000,0.337393,0.181902,0.030149
1,8,8000,1500,1.000000,0.335251,0.181163,0.031066
2,8,8000,1500,1.000000,0.335876,0.181466,0.031452
0,16,8000,1500,1.000000,0.337390,0.179823,0.031863
1,16,8000,1500,1.000000,0.363654,0.223967,0.055232
2,16,8000,1500,1.000000,0.376744,0.221830,0.054404
0,32,8000,1500,1.000000,0.379691,0.231896,0.053182
1,32,8000,1500,1.000000,0.378572,0.210267,0.030469
2,32,8000,1500,1.000000,0.332676,0.179745,0.030359
0,4,8000,2000,1.000000,0.335060,0.181596,0.030398
1,4,8000,2000,1.000000,0.331334,0.185265,0.033029
2,4,8000,2000,1.000000,0.337321,0.181559,0.030614
0,8,8000,2000,1.000000,0.333410,0.187629,0.030752
1,8,8000,2000,1.000000,0.337149,0.180319,0.030560
2,8,8000,2000,1.000000,0.334208,0.187446,0.030559
0,16,8000,2000,1.000000,0.334238,0.186779,0.031461
1,16,8000,2000,1.000000,0.337115,0.180713,0.030683
2,16,8000,2000,1.000000,0.333732,0.180455,0.030689
0,32,8000,2000,1.000000,0.336068,0.180189,0.030616
1,32,8000,2000,1.000000,0.334583,0.180696,0.030656
2,32,8000,2000,1.000000,0.335925,0.178262,0.030317
0,4,8000,2500,1.000000,0.336010,0.181232,0.030482
1,4,8000,2500,1.000000,0.336489,0.179576,0.030362
2,4,8000,2500,1.000000,0.332821,0.181824,0.031663
0,8,8000,2500,1.000000,0.337278,0.183123,0.030727
1,8,8000,2500,1.000000,0.335438,0.186604,0.030543
2,8,8000,2500,1.000000,0.370108,0.223627,0.056186
0,16,8000,2500,1.000000,0.376254,0.222618,0.055879
1,16,8000,2500,1.000000,0.376560,0.230345,0.055679
2,16,8000,2500,1.000000,0.378297,0.187011,0.030856
0,32,8000,2500,1.000000,0.334202,0.182745,0.030594
1,32,8000,2500,1.000000,0.331716,0.178970,0.030672
2,32,8000,2500,1.000000,0.334271,0.188077,0.031001
0,4,10000,500,1.000000,0.524207,0.280737,0.046205
1,4,10000,500,1.000000,0.523813,0.285887,0.047200
2,4,10000,500,1.000000,0.520392,0.280311,0.047041
0,8,10000,500,1.000000,0.527239,0.279662,0.058622
1,8,10000,500,1.000000,0.519748,0.286027,0.046307
2,8,10000,500,1.000000,0.534258,0.286964,0.046698
0,16,10000,500,1.000000,0.523215,0.284061,0.048021
1,16,10000,500,1.000000,0.525509,0.279974,0.045411
2,16,10000,500,1.000000,0.523589,0.278885,0.048063
0,32,10000,500,1.000000,0.530676,0.353701,0.088032
1,32,10000,500,1.000000,0.593420,0.350791,0.079368
2,32,10000,500,1.000000,0.609248,0.344831,0.048126
0,4,10000,1000,1.000000,0.527854,0.283842,0.047094
1,4,10000,1000,1.000000,0.524106,0.288973,0.045846
2,4,10000,1000,1.000000,0.521413,0.282698,0.049935
0,8,10000,1000,1.000000,0.528548,0.283428,0.047132
1,8,10000,1000,1.000000,0.538617,0.291098,0.053129
2,8,10000,1000,1.000000,0.546873,0.281315,0.046333
0,16,10000,1000,1.000000,0.527007,0.279143,0.048372
1,16,10000,1000,1.000000,0.521967,0.288138,0.046089
2,16,10000,1000,1.000000,0.519341,0.283683,0.046318
0,32,10000,1000,1.000000,0.519734,0.282175,0.045951
1,32,10000,1000,1.000000,0.522538,0.282348,0.050553
2,32,10000,1000,1.000000,0.538481,0.358863,0.084480
0,4,10000,1500,1.000000,0.600807,0.363067,0.085329
1,4,10000,1500,1.000000,0.580302,0.282241,0.050136
2,4,10000,1500,1.000000,0.527902,0.278813,0.048273
0,8,10000,1500,1.000000,0.528113,0.278537,0.048265
1,8,10000,1500,1.000000,0.528863,0.287042,0.049097
2,8,10000,1500,1.000000,0.525031,0.289878,0.049569
0,16,10000,1500,1.000000,0.527123,0.280311,0.048852
1,16,10000,1500,1.000000,0.526931,0.280881,0.048392
2,16,10000,1500,1.000000,0.525568,0.281454,0.048992
0,32,10000,1500,1.000000,0.527344,0.278198,0.048578
1,32,10000,1500,1.000000,0.525990,0.283553,0.048535
2,32,10000,1500,1.000000,0.533498,0.286080,0.048815
0,4,10000,2000,1.000000,0.520868,0.278712,0.048896
1,4,10000,2000,1.000000,0.580318,0.348517,0.088879
2,4,10000,2000,1.000000,0.590951,0.353933,0.085173
0,8,10000,2000,1.000000,0.550100,0.281804,0.048387
1,8,10000,2000,1.000000,0.530073,0.281755,0.050729
2,8,10000,2000,1.000000,0.537408,0.285243,0.049128
0,16,10000,2000,1.000000,0.534838,0.299287,0.049159
1,16,10000,2000,1.000000,0.523759,0.284903,0.048368
